"l_ridge_rsq_log1" "l_lasso_rsq_log1" "l_elasticnet_rsq_log1" "l_rf_rsq_log1"
"1" 0.250759409161519 0.220743320005329 0.226979240195386 0.285891108933268
"2" 0.111910911880152 0.156650643841653 0.161914961742322 0.13361672919182
"3" 0.201894129299614 0.203136120960045 0.206576422783652 0.208558169171422
"4" 0.13386294 0.16604726 0.13912788 0.17374281
"5" 0.169342122839787 0.18525740530987 0.189246227735138 0.199027932805819
"6" 0.106075337743427 0.181414969146313 0.173166447751076 0.16154264271086
"7" 0.245706615420897 0.291467086029633 0.281703091336329 0.255383494685198
"110" 0.21754985444534 0.222092259203562 0.22729013598797 0.208546208240429
"210" 0.181131842333714 0.206414043368834 0.20407810959948 0.249354333674216
"310" 0.505903103120397 0.515529366508261 0.508062542944294 0.479748533468157
"410" 0.178654649892835 0.194931062594963 0.193814479158032 0.172404561295844
"510" 0.54432829519982 0.589359491977276 0.592461345248643 0.579987474938564
"69" 0.222824055767534 0.261756962214741 0.254985577931748 0.230475771555911
"71" 0.455664083519556 0.463902327779831 0.470121834175092 0.446917018304354
"8" 0.266367803810582 0.274193861119245 0.280200059373591 0.242540160569677
"9" 0.180581292158148 0.235212193431497 0.235652486190568 0.301380311372424
"10" 0.576608872652122 0.620112008787103 0.616849266524193 0.597655330981888
"11" 0.0708067136949859 0.0543056588667416 0.0642448450609923 0.0351349946748287
"12" 0.150343262951048 0.166821534975966 0.165902026911524 0.119614081064265
"13" 0.104040816340405 0.0914958202281355 0.0919824304626014 0.0995570562401666
"14" 0.0529551099230677 0.0963998611567734 0.0992885740086921 0.0682518538185257
"15" 0.472073060469588 0.501758172646336 0.49897966826041 0.472006157909712
"16" 0.503970540722953 0.532885061775788 0.53498121362807 0.538721647239869
"17" 0.236177810947416 0.227981525366801 0.232203565249931 0.197864809861165
"18" 0.150848959507104 0.222196041607707 0.224589330908443 0.164756099040336
"19" 0.144531409805447 0.154720061418472 0.156628529523466 0.156680131590725
"20" 0.0295189793032024 0.0485657148665213 0.0483634437740655 0.0320414069969017
"21" 0.205937313694149 0.228331190293927 0.225935522448574 0.171731981664485
"22" 0.70822705567987 0.780032713558248 0.77314592854679 0.777495178901137
"23" 0.616588314580678 0.677192802553085 0.681413481250835 0.661465037624168
"24" 0.099060695914649 0.136507252172701 0.13716727633418 0.130520601573596
"25" 0.403931647814871 0.38762725942461 0.389024767966308 0.396794711403783
"26" 0.227306402653637 0.225876057050538 0.222756416119047 0.17696985734228
"27" 0.183657990677673 0.176351056442299 0.185194873747317 0.121476481246292
"28" 0.477778127408509 0.485700472025805 0.484053633023379 0.499840955905454
"29" 0.0825102539985045 0.106873582786478 0.109787486749785 0.104870423281496
"30" 0.364070968001395 0.373418990457091 0.372033001315585 0.373292190558652
"31" 0.252339949663522 0.249684893105487 0.247140743467904 0.200024337011083
"32" 0.275128944884315 0.278759542809572 0.282317973292234 0.234452476559931
"33" 0.159238221313901 0.302808061155756 0.288896762716716 0.268909158762422
"34" 0.209943459304448 0.191402739245761 0.189255158253136 0.145284737944735
"35" 0.215606398955183 0.219692588698475 0.222397610070973 0.242565221758071
"36" 0.0782727841374533 0.170735839633943 0.168917052499507 0.194224340310819
"37" 0.156254430420368 0.210569724739289 0.219194442333955 0.218988772510432
"38" 0.0857939760035502 0.0908029545048076 0.0766837756450295 0.0827558938296281
"39" 0.149564588367732 0.182808083014982 0.195007884965082 0.181196702997623
"40" 0.138173300605758 0.20165312040485 0.202779417214874 0.116895483857467
"41" 0.282561810602859 0.287045710044312 0.293731532992311 0.272998508253699
"42" 0.203886532882654 0.1862059921682 0.203659589991265 0.188014936940131
"43" 0.132893058501402 0.162205461979959 0.157117120073434 0.113875076321044
"44" 0.0720102905178336 0.112759095688129 0.119405235888544 0.0758313953427409
"45" 0.314714961207217 0.344551521090486 0.346197224339625 0.357123866845706
"46" 0.110436772255705 0.0897645288394814 0.0931592336892989 0.0678005750978102
"47" 0.300483593811368 0.325970719201622 0.317846874820912 0.279332097274759
"48" 0.284038858575534 0.334471820579444 0.339633544887741 0.333583062611771
"49" 0.640739458475406 0.65860528932625 0.658920735164217 0.64753586577036
"50" 0.118309182698322 0.133232232575066 0.135896213303006 0.0714422288144809
"51" 0.448286934261319 0.511359602042935 0.51247971744196 0.496486338693442
"52" 0.283810298283659 0.280601617038847 0.291190678981436 0.241071646926198
"53" 0.0909404399488321 0.175052536598838 0.1849618307371 0.182642464864883
"54" 0.222476297455877 0.249031392156151 0.241794474297465 0.199078365157879
"55" 0.0353333606472231 0.0597979399432523 0.0619330710152555 0.0697808364490164
"56" 0.134919053533211 0.106218593709286 0.112768080324029 0.111954654805518
"57" 0.243198868758862 0.216982453107026 0.219827353277768 0.245551607348364
"58" 0.23045309026555 0.204602086073392 0.206769545698883 0.159249878207563
"59" 0.0843951776599138 0.0914939962128894 0.0874196522226409 0.0850094828477362
"60" 0.293141274675337 0.239357154544147 0.245153287721678 0.2420351599275
"61" 0.19314210300126 0.167906401592336 0.17019636787547 0.1659504039744
"62" 0.244094939212432 0.219699705046043 0.228139317731924 0.219446213895627
"63" 0.100586268631192 0.129646725405495 0.125656565256292 0.0973943196472699
"64" 0.404746592593912 0.408762856125341 0.40648408655532 0.401094662997936
"65" 0.120543326673118 0.127873410316495 0.132359867170381 0.114993067250963
"66" 0.175408339976961 0.168654700299354 0.170351471264561 0.149686372402806
"67" 0.264201296677927 0.28804505173379 0.28764814023053 0.282906108319107
"68" 0.0954723083926501 0.0780791017433615 0.0796845692123701 0.0680395447110093
