"l_ridge_mse_log1" "l_lasso_mse_log1" "l_elasticnet_mse_log1" "l_rf_mse_log1"
"1" 0.0280274476546187 0.0283738544715119 0.0284839968268759 0.0270639771627573
"2" 0.00668877811607329 0.00672049745115266 0.00673931411634853 0.00742512730131395
"3" 0.000459442236775945 0.000463478679765956 0.000461009666473864 0.000480881041807259
"4" 0.0371905598792943 0.0374795878980611 0.0374152750739504 0.0379545790202863
"5" 0.00549422183150683 0.0055796979820575 0.00553227432911529 0.00598169816951425
"6" 0.00338794475615177 0.00339532541404804 0.00338527341738372 0.00334263539662961
"7" 1.71624574874389e-05 1.72637659331731e-05 1.71963121193584e-05 1.83705189504217e-05
"110" 0.000322684265293407 0.000319539391282917 0.000318923124531353 0.000316782836499321
"210" 0.00263437135207396 0.00255318680629179 0.00255736380847653 0.00245506697094222
"310" 0.0112958588050101 0.0111579258487877 0.0112825923799927 0.0120303908240678
"410" 0.00424668028368427 0.00423310326276982 0.00421394811333966 0.00426567652660424
"510" 0.0136919689938779 0.0136878290960228 0.0137917653800266 0.0148868942913169
"69" 0.000496398449390805 0.000489828378378271 0.00048971555890771 0.000557786216410414
"71" 0.0295996439996158 0.0291404768576424 0.0289959160243937 0.0307080807684323
"8" 0.000188947314407592 0.000186427342497514 0.000186494842073107 0.000192868715216295
"9" 3.46674020593306e-05 3.40390680133381e-05 3.42944585210199e-05 3.34055568695562e-05
"10" 6.99041609420523e-06 6.74747214292951e-06 6.80786846540098e-06 7.24942064498796e-06
"11" 0.00148208717327717 0.00150237136861359 0.00149545018762921 0.00162489697401286
"12" 5.63451348812552e-05 5.55358333072769e-05 5.56907439876921e-05 6.32332163351657e-05
"13" 1.27927875116228e-05 1.28837287285721e-05 1.28700443173792e-05 1.38685152905336e-05
"14" 0.00871272834768688 0.00870456348667372 0.00871471425230267 0.00890842581122753
"15" 0.000393921048560234 0.000367362242964791 0.000367121135214299 0.000382749698603848
"16" 0.0129848988922172 0.0129805417838757 0.012704836451218 0.012491373362664
"17" 0.000195264120584463 0.000205673595529614 0.000198126996410472 0.000202535047888975
