"l_ridge_rsq_log1" "l_lasso_rsq_log1" "l_elasticnet_rsq_log1" "l_rf_rsq_log1"
"1" 0.0114414777754617 0.228087466530412 0.231233153714097 0.246036960915209
"2" 0.0135411470559791 0.0954161935614794 0.101817252068599 0.0921545936932074
"3" 0.0245547345969615 0.163116713660871 0.156135738319206 0.166861035848796
"4" 0.00856572156332382 0.161823201533333 0.172523937468666 0.170464990453727
"5" 0.0514680896483059 0.148731029917236 0.148297776655879 0.152117573925225
"6" 0.00445954285359492 0.153299384574573 0.150069941318082 0.168145891468186
"7" 0.0152628246200686 0.270552557188905 0.274975972367666 0.275991290158439
"110" 0.0563001441802388 0.525339972684908 0.529265433599788 0.469231984130214
"210" 0.0295861537788629 0.154233287647663 0.153697951133386 0.195010314858979
"310" 0.0947211169305447 0.466294091583863 0.473720538144127 0.455825995105009
"410" 0.0843682245338777 0.374626049296269 0.392003699948109 0.323628860796288
"510" 0.0394257105884003 0.602104536712738 0.606403571293311 0.569015719509638
"69" 0.0111020750807212 0.250261394009909 0.252033291040748 0.19068595414849
"71" 0.0423989737189698 0.411732128764249 0.428216214473612 0.406366030692344
"8" 0.0424494529356564 0.194785554134868 0.202745562436091 0.130368370303828
"9" 0.00702152588421428 0.208045758428986 0.202335012592406 0.261375745230089
"10" 0.0269165941720762 0.610506875331704 0.61026799242898 0.605219765144952
"11" 0.0356553422574262 0.00547167326514799 0.0127680715089928 0.0567431498710469
"12" 0.00630763030659231 0.155880397109058 0.14515536544578 0.14493958488474
"13" 0.00684407344313446 0.0916930938125535 0.108132514878626 0.0982117520355831
"14" 0.00722926258733413 0.0671161317962084 0.0637900391898884 0.0728204661319763
"15" 0.100322845401494 0.552096957601718 0.555016733524695 0.492901619474104
"16" 0.267947502618097 0.496313409389992 0.494319740151765 0.518873132238229
"17" 0.0480255948637564 0.198084072613315 0.20062637563998 0.171915600269545
"18" 0.0279216217342307 0.211888279513004 0.207906633966049 0.205771010626263
"19" 0.00534573624622998 0.155350017508271 0.15959146250859 0.153368868154252
"20" 0.0422127329015675 0.37998791504332 0.380314057971919 0.358703361659014
"21" 0.0116681924126657 0.200928491032426 0.187663817186935 0.153229403159961
"22" 0.0166189847803963 0.780830071090661 0.761647741089554 0.770228891011108
"23" 0.00472709097189991 0.674799946900685 0.674934776524315 0.659582673187684
"24" 0.0935138788185353 0.0678193358555604 0.0577491581102567 0.0956163376645653
"25" 0.0256090432639815 0.382957096247615 0.3926410787669 0.382996337316847
"26" 0.0305779933111915 0.227777747221761 0.232633676453463 0.181119929837284
"27" 0.0234524021307112 0.175450401888441 0.209275563988793 0.152062335839164
"28" 0.228745990438335 0.477291322747131 0.474768934405363 0.48124792296388
"29" 0.0065529985494902 0.07925310049647 0.0750450274999974 0.0635966980361435
"30" 0.0128039792728656 0.333005070095831 0.345887561116991 0.330822037565439
"31" 0.00981768986894107 0.233457363257202 0.233624966846468 0.217308930252403
"32" 0.0418555332909396 0.27061710871758 0.276774721100971 0.268396120377301
"33" 0.0525443519832235 0.251573091868002 0.248288459048639 0.195589150288844
"34" 0.066871806564108 0.169603756768904 0.158187853633996 0.123209977963801
"35" 0.00803079765564006 0.223846002366839 0.236260100326228 0.223213334903304
"36" 0.00173465214616563 0.139067089773922 0.122747872550225 0.136732592723632
"37" 0.0322755635947441 0.18476027023027 0.175138447566139 0.166999338246091
"38" 0.0431825530269253 0.230132945980654 0.232030481000148 0.219219695537361
"39" 0.00860208594328845 0.197589136091129 0.183079480053048 0.181426224314665
"40" 0.0188733741302773 0.179841732314698 0.174487990878675 0.164747803306202
"41" 0.0115880825215749 0.284815712239199 0.296649909031108 0.270747444920235
"42" 0.0319418237866941 0.173061800060921 0.187274942236297 0.18030573698003
"43" 0.0132113932497864 0.109111213937624 0.118687330765772 0.118460919407573
"44" 0.00469141641433508 0.0929675406060973 0.0947132168160474 0.101673202534103
"45" 0.0055480997734604 0.33456973031799 0.334233501450792 0.333257975878993
"46" 0.01781779143646 0.101014491875212 0.0953253220274797 0.079217130680429
"47" 0.0291990587942184 0.327085336095139 0.327207128099406 0.308569416283102
"48" 0.0267744035651237 0.371383400229301 0.389169801319485 0.340332255849026
"49" 0.215508110583446 0.64628565724203 0.636291832083174 0.583412937806041
"50" 0.00465881233407372 0.125527009993405 0.131236314028879 0.104517474436478
"51" 0.0508749100313046 0.47069588165681 0.456285216804079 0.452379142457415
"52" 0.0496737205117133 0.295489658667038 0.295829381748575 0.247141181792241
"53" 0.0165139682925772 0.153606411477009 0.141840684344282 0.118492082722184
"54" 0.0131350213404165 0.263047378614661 0.265419142439858 0.229905925725845
"55" 0.0170279873774304 0.0561361412160583 0.0555278432041618 0.0323226972213255
"56" 0.0116628999400704 0.120044011359477 0.118908001400127 0.0965779066815377
"57" 0.00780532436921319 0.260522640092534 0.244533431664748 0.223228407965789
"58" 0.0467197453650735 0.186694854337787 0.178407602994527 0.14022273328827
"59" 0.0166991749440744 0.123380443055921 0.0872781077859839 0.0939233149612732
"60" 0.0388055661281287 0.15510829818923 0.158427838253618 0.165314871464941
"61" 0.0319581468764416 0.129874780130386 0.131318846568716 0.146231426201011
"62" 0.0114674334977008 0.236117473737714 0.229039604039492 0.222572562750748
"63" 0.017422735006182 0.0854467308094422 0.0912577651724501 0.102263211815019
"64" 0.0214537173765204 0.350818693382719 0.349102233880638 0.318653397815972
"65" 0.00240109063217615 0.118839796341978 0.104852257596578 0.0844876128355231
"66" 0.00471124075450116 0.0908072888642423 0.10248720987339 0.105602711918907
"67" 0.00562806758929586 0.287579307755443 0.275651342823996 0.236384078359685
"68" 0.0329467797698561 0.434459020380556 0.428065278555891 0.435187379818555
