"l_ridge_mse_log1" "l_lasso_mse_log1" "l_elasticnet_mse_log1" "l_rf_mse_log1"
"1" 0.0274249134051929 0.0287884364447284 0.0284049560001189 0.0260591810930753
"2" 0.00708035878794966 0.00675516488507456 0.00676972965537906 0.00695808861854714
"3" 0.000456660513626264 0.00045603208609026 0.000453631023381473 0.00045463536501767
"4" 0.0393741230089195 0.0380566879689955 0.0379042479458024 0.0373667524989051
"5" 0.00571301492208607 0.00559628980911853 0.00559842233831044 0.00544900254131077
"6" 0.00353409877680739 0.0033232814545941 0.00333939095072424 0.00337253261757107
"7" 1.82130048592575e-05 1.7476973247934e-05 1.75425794759587e-05 1.8407639880109e-05
"110" 0.000315756199998715 0.000317752398785932 0.000315372838338286 0.000320003641466385
"210" 0.00261432426778398 0.00254363045592636 0.00256432492182425 0.00244427270363204
"310" 0.0115180139418111 0.0113565759953719 0.0115179207657464 0.012172260700586
"410" 0.00416534910606709 0.00410279006270869 0.00408942162305753 0.00422413416139998
"510" 0.0151469453733843 0.0135211566315477 0.0133844378345817 0.013784862608258
"69" 0.000513986564760655 0.00048758903770701 0.000493572186832638 0.000505454650702717
"71" 0.0294473559452329 0.0292373242029212 0.0289979808967622 0.0299685955884038
"8" 0.000178069435053701 0.00017903763106927 0.000176474657551532 0.000187682099131899
"9" 3.81886359017935e-05 3.5566266638232e-05 3.53803419081373e-05 3.24330139978247e-05
"10" 7.44313232196314e-06 6.78264915974598e-06 6.86911325152439e-06 7.13828714851048e-06
"11" 0.00150457984070323 0.00152075559255739 0.00152229299842843 0.0015672813295555
"12" 5.61919109551158e-05 5.51933110408471e-05 5.51752277566806e-05 5.9630395325532e-05
"13" 1.24847552719422e-05 1.26710170527471e-05 1.26195910466306e-05 1.2863032906502e-05
"14" 0.00931292106580897 0.00889536577018824 0.00886511488168073 0.0093547544040364
"15" 0.000389386134859303 0.000366423481384439 0.000368194169624352 0.000390238399755164
"16" 0.0133206893268402 0.0126098233610129 0.0125903910699072 0.0124664741456047
"17" 0.000200102937979602 0.000201351533096205 0.000200153445247035 0.000211490707200724
"18" 9.1166827366298e-05 8.3931443921934e-05 8.43731229989955e-05 9.11524763563601e-05
