"l_ridge_rsq_log1" "l_lasso_rsq_log1" "l_elasticnet_rsq_log1" "l_rf_rsq_log1"
"1" 0.234054355766155 0.229796321625513 0.224033359816927 0.266086767596219
"2" 0.162373994235448 0.157388028567084 0.158261516997723 0.110176083009847
"3" 0.195842347206107 0.189600129750715 0.192514727196154 0.178492599504802
"4" 0.202791549057832 0.201638080422404 0.202075152574284 0.204392832464608
"5" 0.196266080803593 0.183252500568722 0.193090411893954 0.151606274203363
"6" 0.161366555386353 0.148182797332272 0.152188048597762 0.181446931138682
"7" 0.298100904354439 0.293219889852131 0.297241204792172 0.261776811015876
"110" 0.203293812111293 0.215463353022614 0.219701827842827 0.227461696770745
"210" 0.174349027443336 0.202752666290591 0.201427891382946 0.228778980102936
"310" 0.513065503828628 0.51963491342533 0.51187478613726 0.482858147220859
"410" 0.166101021757213 0.170814608820494 0.173006890573192 0.174635848533974
"510" 0.577869314590731 0.578958789311884 0.576408173436413 0.541919941707221
"69" 0.247804348541543 0.258140150830997 0.258069607124385 0.18583866896178
"71" 0.453795926312304 0.463134458750211 0.465650198712293 0.434471638018878
"8" 0.221924845722767 0.235439723367972 0.234619882294631 0.22763802350796
"9" 0.248594032268651 0.261814222216022 0.256680816921134 0.28290211040388
"10" 0.603275217030708 0.619459279906325 0.615804598800572 0.59034822015645
"11" 0.0860791997965935 0.0733832632114655 0.0760317925263956 0.0541427763906352
"12" 0.147700679987556 0.155936009903747 0.158243198921859 0.0845894266984693
"13" 0.0910748506022835 0.0875162442627535 0.0874771816598285 0.0710180864457478
"14" 0.11033795681398 0.109452103849013 0.109602013762244 0.107592795417729
"15" 0.467411159136084 0.500510034485915 0.501748635354488 0.482740350285018
"16" 0.519999974358247 0.517872924018805 0.529648136961185 0.537963803442124
"17" 0.258806759861773 0.226624450242432 0.250231181627505 0.237569352332377
"18" 0.218002330669261 0.234361174660878 0.2331014961564 0.175022482898582
"19" 0.154384664256806 0.164173455793197 0.155967424621074 0.134334186734549
"20" 0.0342398691812152 0.0353723506886265 0.0376580993891024 0.044300549193797
"21" 0.201661194538556 0.226648038589396 0.226923629464433 0.165258531575353
"22" 0.741529840211831 0.771854635674373 0.764979987973971 0.767580751559745
"23" 0.671787940496395 0.678049321478372 0.677592193821112 0.669189635517165
"24" 0.128060162176767 0.129035712341168 0.129113363038109 0.0918178669985607
"25" 0.40505024360278 0.382048076689404 0.38826136610319 0.402823150463418
"26" 0.2219099645538 0.219870121129722 0.222549053645522 0.141692705550612
"27" 0.189592409906359 0.178636160858092 0.180724149112149 0.108895398547114
"28" 0.479668364060274 0.48541802751734 0.476506137796788 0.500940426763243
"29" 0.130136264580005 0.12059642359621 0.120712196116461 0.130782962034247
"30" 0.370312712952305 0.354874356241047 0.358812719898947 0.367236710263668
"31" 0.261345317680135 0.249623059963952 0.252557249532207 0.192092702246735
"32" 0.272851291626285 0.27125801612768 0.26970458678152 0.188527382492682
"33" 0.253453096498324 0.265733478627028 0.257776944215358 0.233759140366231
"34" 0.159369719026285 0.171905982436073 0.165247322677681 0.145118003148219
"35" 0.24929432239456 0.237367350330564 0.238582022002621 0.234626878961512
"36" 0.168201732748433 0.163785776606237 0.164424578091347 0.169707954603714
"37" 0.228961212390518 0.228680301240012 0.230548935477997 0.22124797073106
"38" 0.0809523331281573 0.0838914140144747 0.0748370380643085 0.0888538945495469
"39" 0.170051926272051 0.172380795170111 0.187072816798181 0.166123887099443
"40" 0.145222179195554 0.201995946452219 0.202113880185343 0.116910867328382
"41" 0.300037409121717 0.288847602762413 0.289808487940011 0.287296405247151
"42" 0.199962464596076 0.187727371068205 0.19327859801001 0.165610077712407
"43" 0.158071373736594 0.164117611028478 0.164405842999058 0.0948313869041903
"44" 0.112665858090885 0.106492036673573 0.111286028433702 0.0960701910482481
"45" 0.344675872223869 0.347319587834776 0.348087925917222 0.253102092197911
"46" 0.0800390514038487 0.0780404872933369 0.0788878632349774 0.0436351753222256
"47" 0.310484494822581 0.31092053015564 0.308253883678326 0.270108976454626
"48" 0.317702462801369 0.348641691435361 0.357614004491501 0.343900408964715
"49" 0.639605831101987 0.659016806567473 0.659755584205108 0.644107492289719
"50" 0.130820983501456 0.134636869802899 0.134781906229006 0.0904679437067171
"51" 0.451218646149497 0.513321318878545 0.512239005971193 0.495558069818483
"52" 0.283114541568617 0.280010261178038 0.28172147638762 0.221423641818289
"53" 0.138120025110905 0.143989561536679 0.144366703969407 0.162742177416666
"54" 0.231180529136137 0.241600530019438 0.243409799880444 0.203872951370626
"55" 0.0647264863124351 0.0725171465242378 0.0716748651632777 0.0483812780964061
"56" 0.0852176163800886 0.0979108238135774 0.0959240155842267 0.0802472788703086
"57" 0.179177630507553 0.167492594504414 0.177171568912056 0.162473453433062
"58" 0.196176863080043 0.199685030880924 0.19458976941526 0.163798299705659
"59" 0.112490845244285 0.101422804560869 0.100228106204328 0.0546542870925962
"60" 0.306329086188054 0.243518283871411 0.250406964901293 0.232846780130479
"61" 0.177780976575956 0.156851901774824 0.16153112482596 0.143868733719882
"62" 0.226205103930466 0.223707755236649 0.23720677399813 0.220092071617551
"63" 0.13288173483701 0.136494970174971 0.131102169996237 0.0886954604451714
"64" 0.401720556581735 0.394712590836264 0.395741548160075 0.382579693344764
"65" 0.108683221960918 0.111823689831078 0.101916445145013 0.114592624360588
"66" 0.174478433320394 0.185037658410227 0.186273776135726 0.14743738301856
"67" 0.306905143307346 0.328393149038414 0.319329533544956 0.258956072037806
"68" 0.0650351383991431 0.053824059628563 0.0551257414293918 0.0543562023297217
